Genotype,Sex,Construct,Animal ID,Day,Block,Strength,User,Batch
Control,male,C57/BL6J,2715,4,2,93,Laura,1
Control,male,C57/BL6J,2716,4,2,106,Laura,1
Control,male,C57/BL6J,2722,4,2,111,Laura,2
Control,male,C57/BL6J,2724,4,2,104,Laura,2
Control,male,C57/BL6J,2726,4,2,62,Laura,2
Control,male,C57/BL6J,2728,4,2,88,Laura,2
Control,female,C57/BL6J,2816,4,2,74,Laura,3
Control,female,C57/BL6J,2820,4,2,99,Laura,3
Control,male,C57/BL6J,2824,4,2,71,Laura,3
Control,female,C57/BL6J,2825,4,2,90,Laura,3
